year_month,Orders,Revenue
2016-09,1,0.0
2016-10,265,61746.94
2016-12,1,19.62
2017-01,750,176491.49
2017-02,1653,325782.66
2017-03,2546,505735.83
2017-04,2303,456108.32
2017-05,3546,701313.6
2017-06,3135,585400.98
2017-07,3872,716069.98
2017-08,4193,842689.94
2017-09,4150,996279.59
2017-10,4478,998609.62
2017-11,7289,1548682.69
2017-12,5513,1020067.26
2018-01,7069,1374064.02
2018-02,6555,1279970.45
2018-03,7003,1435458.33
2018-04,6798,1466607.15
2018-05,6749,1480667.59
2018-06,6099,1285926.11
2018-07,6159,1307228.18
2018-08,6351,1211240.09
